protocol_type,service,flag,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
tcp,private,S0,0,41970,30282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,5,0.8562026723347265,0.014147145001578078,0.05610236993609866,0.00015470636650990468,0.9772572540078852,0.9134418372682077,0.04689071448104473,56,248,0.9695276867232258,0.022367690357678795,0.05734984147663377,0.07856316857385082,0.048934439719342665,0.03481874598274459,0.06601571160086044,0.09609326701545316
udp,private,S0,0,47260,29262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,5,0.9212057473023247,0.04374693160809223,0.060930172914687136,0.07716768739975309,0.9546810692652407,0.8061284995100237,0.05448474126640658,196,58,0.9745895540501891,0.09606306655197763,0.09579315900820523,0.05062277156603034,0.04184937743860943,0.0040156902215659155,0.06925481477394943,0.0788980867583519
udp,private,S0,0,26982,15618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,2,0.9678475203949338,0.007961762023556819,0.059431305249429744,0.08509234453711043,0.9351533683011266,0.8822934094368211,0.0474858925732506,74,25,0.9609516834803031,0.050289495040005516,0.01206077224940163,0.03615880732738571,0.015875813766963287,0.015801115197733407,0.08219498028519723,0.02056335651895952
udp,private,S0,0,11590,49297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,5,0.9004327290592874,0.05701328634111147,0.052466398461374866,0.06479747042070236,0.9722983829453212,0.9761563507644156,0.07081025663696304,54,50,0.9492852309734838,0.06814357201888045,0.030618347031840378,0.011476908491581074,0.00966514812353745,0.017518260446341128,0.014068816373655214,0.0784204594175881
icmp,private,S0,1,19876,39474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,1,0.9723322499763738,0.018424355836056883,0.02581893378422473,0.028345282128158247,0.9051017219692242,0.9668833076492128,0.01960440978196705,175,73,0.9821385126189929,0.05579238712856486,0.041279256261365006,0.07792436630942103,0.07531067751562494,0.0406817896504466,0.061420090984992376,0.047580773342622486
udp,private,S0,0,13554,39070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,6,0.8880284223272957,0.028266359187694837,0.044322352824140335,0.01828635425147315,0.9641817043353604,0.8076129478715803,0.07690947600630693,208,83,0.9284594435662173,0.04560754278114795,0.003457520481147558,0.07522470079107546,0.03076471146605311,0.03421187414597578,0.09781504908968386,0.05072865839131997
tcp,private,S0,0,31716,34058,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,286,2,0.8165285197440214,0.0650326754148162,0.08469633453667963,0.006201169972775922,0.9123924261916825,0.823870574055104,0.009764590473723356,139,203,0.9063600892863382,0.06667488756885555,0.0312595982782316,0.0012510542899825672,0.030856314366446216,0.05489877373020596,0.022381651689156835,0.01707319073467045
udp,private,S0,0,10408,30893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,5,0.9796974627523124,0.061064624101063995,0.07186849595915336,0.060375935171025824,0.968508846036843,0.97912890537575,0.08557214420898629,16,173,0.9980081286081144,0.052080204086779935,0.0704034556826129,0.05383056011825186,0.007263856573447758,0.05022162643081321,0.022976049005480483,0.07256654139428483
icmp,private,S0,0,34884,34798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,5,0.9014543204711976,0.0968173280259237,0.0952163692415931,0.049524144037196384,0.9526290010389045,0.8189147716434774,0.037692738268986684,157,57,0.9348544371645573,0.02616057855517743,0.08961647273565201,0.09607704523977376,0.04771508624205787,0.002922754792102256,0.0924685675444634,0.07674688401383566
tcp,private,S0,3,47656,25351,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262,6,0.8992589414497218,0.06816411765231295,0.053154077494962974,0.06553319568224045,0.9489298616784174,0.8633226853407757,0.05275263457977558,237,231,0.9247970827452489,0.09933905186804547,0.052371707567720076,0.05029905426438691,0.08414249629772046,0.0746020116697913,0.05038526797042299,0.049824837714110705
udp,private,S0,0,11088,10109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,5,0.83861256731754,0.058933858145883124,0.08536054849133692,0.014529952082209597,0.9577016902442514,0.8541050548104477,0.09758125687809528,171,168,0.9517247243645047,0.08668744035054005,0.08514362250711542,0.03855556873106512,0.061293835730798454,0.019653743043248885,0.059648533494288516,0.030948064938377276
icmp,private,S0,2,40547,26332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,6,0.9250169051707949,0.033894816716756586,0.07180886011173794,0.05210211915450983,0.927141573818787,0.9196020188777798,0.046507539753858324,108,71,0.9642529198138109,0.052380884505087114,0.010045123243347488,0.022725142227910125,0.018710010049592895,0.08128351730038896,0.03469782306700862,0.007223918226861282
icmp,private,S0,1,42423,33134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,5,0.8611697559092885,0.02675516462279568,0.07060698854678117,0.03548549759649611,0.9484336165176693,0.9399583510301787,0.017891025325122944,208,163,0.9183232624020814,0.04486913565907472,0.05332944561985136,0.09482130712556766,0.00284663422883219,0.035057253384309886,0.0404681258263907,0.04804592192698779
tcp,private,S0,0,38224,36225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,6,0.8688474309795777,0.012969701508093701,0.07317649582932848,0.021989678650235756,0.9004257802412461,0.8944814325738102,0.0039513389076905716,233,133,0.9458107661877032,0.06090082611253339,0.0714238172567343,0.01455197625376501,0.07584463560780036,0.08718202516009826,0.06267002982811869,0.08521205508658485
icmp,private,S0,0,37375,41877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,5,0.8057809201316628,0.08940905222100318,0.0232014953794477,0.05256499798681814,0.9437214209815754,0.8082494237989604,0.016058651194845064,106,199,0.9835153321241024,0.07564057791153245,0.006413485292307664,0.07254930960691718,0.0753095523232201,0.07931018895470157,0.09468024161515878,0.0711307458918979
udp,eco_d,S0,0,94,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.03811556449025433,0.05510455322963825,0.06395871790851089,0.0630364735905959,0.9061457464405505,0.019521486692135027,0.08878545915071645,109,0,0.947398174772993,0.011854131459831375,0.05987550654435175,0.07825430398292241,0.03657222612325436,0.02264137471348159,0.06707098117211079,0.08040466820158061
tcp,domain_u,SF,0,13,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.05784453343529124,9.227008677961113e-05,0.05806744327361514,0.020675318664191356,0.9025537654869403,0.03138635461556682,0.07311342062324273,100,24,0.9622629827051811,0.03667004199724738,0.07356763930696862,0.045784314353117875,0.02864107825528376,0.04353852856430145,0.08151158753221088,0.08606328133986799
udp,ftp_data,RSTR,2,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0.042529933035655214,0.017618723986912454,0.053297139529631714,0.05595703917200754,0.9932086104286959,0.022401109607006843,0.057985891187342355,231,251,0.9605447677786221,0.06285382763599157,0.04975292189459161,0.01648240538119411,0.05346385340789465,0.020185243385940355,0.00043311647429044036,0.08628346332637828
icmp,ftp_data,SF,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0.0403322210527009,0.06565250186152509,0.022833448733877805,0.023707638254909402,0.9434310402624477,0.07533604421722159,0.030796151007099183,90,116,0.9664162573698055,0.07085978576197487,0.0062999552752812,0.024100222975415444,0.08130586005541494,0.05906468614081056,0.07605958332527828,0.05131331796515311
udp,other,SF,1,9,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.025621666865523186,0.0065696064087672375,0.09837313260965184,0.01059657941274822,0.9904611444870267,0.0017130019880198467,0.01964175711014874,119,89,0.9127590965834405,0.0682350161976711,0.02483361615088421,0.08684395575616727,0.028065224709133908,0.0796117200142725,0.06338814502217209,0.05374403844472847
udp,domain_u,RSTR,0,32,358,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0.09401186721181987,0.049511048312860434,0.06710268920524322,0.04574896100770878,0.958527994866652,0.0610383869400695,0.04158992082397678,50,112,0.9514443905493205,0.03105237805517256,0.004300827693422815,0.07809572070638247,0.042722024179810414,0.056629158596156616,0.0643371356164971,0.08373048955587788
icmp,private,SF,0,36,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.0646866700156109,0.09184508760931014,0.037812095260904836,0.045884721305656295,0.9768788145214878,0.09753726726149724,0.0010304738584591467,55,8,0.9055551415415757,0.05292547041261565,0.06791409081335363,0.09305977711272471,0.06647974089523344,0.09951183485789593,0.029776389204183674,0.036745518519826326
udp,other,REJ,2,84,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.024198572600091783,0.02772549951253661,0.06400304481189335,0.02714156429736252,0.9759311184063472,0.021974948264760354,0.09898332906468071,130,184,0.9571930420653487,0.07799143559335654,0.09179952234702055,0.037555708839429415,0.0892322611464067,0.05202259806084641,0.039641804094748115,0.04576740457421522
icmp,eco_i,SF,0,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0.06364365811606237,0.08861761594608683,0.015057042824562406,0.033839744074402836,0.9764665645786716,0.057655478445568065,0.02348072987294535,7,225,0.9421994513230403,0.004773275176976544,0.011636422450513995,0.06321504205616783,0.09145903081246837,0.0902659933856433,0.04576258627124931,0.0628114270442353
tcp,eco_i,S0,1,150,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.07144825828875226,0.07134394915380678,0.08563322765898206,0.049528765947511294,0.9555131195639612,0.005538158745869316,0.04112502568361753,206,153,0.9672381071083133,0.06791794019357975,0.04404830037656132,0.002705085939838337,0.0943758579449211,0.07565755562906169,0.028126679139762113,0.02462521148498862
udp,domain_u,SF,1,62,271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.00567841477780311,0.09569020648247736,0.08181196028967788,0.01294615176407017,0.9688496654390204,0.020931642539416373,0.07535590437844099,73,122,0.9789589370097894,0.07517263573775612,0.00730872973135599,0.0933743646409459,0.08910387641186152,0.04734658181664469,0.06300788135344926,0.05133048393323604
udp,private,RSTR,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0.04078812030150452,0.07733378687013524,0.09536395970443047,0.041355210847053764,0.9970516169670858,0.09163857977706236,0.07153012898993703,29,31,0.9888009890171896,0.07297134928657777,0.09742041922522386,0.06147993550558224,0.07014971540977187,0.08325355992738491,0.002646385716859401,0.021083929578152805
icmp,eco_i,S0,2,66,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0.09460842941961237,0.08123724144564226,0.01479256442743625,0.09110382692113317,0.9180282112023791,0.08116095513069832,0.0781901055695157,238,126,0.9894059591455324,0.016540366516074434,0.020471736981309187,0.0016074976045545198,0.00039621949983963405,0.05941190991853194,0.09461931518695474,0.02376172903788597
tcp,eco_d,REJ,0,158,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0.09926127415127751,0.028691050347636693,0.028092319283877933,0.07844450816434974,0.9366596513176579,0.03274269725106648,0.017919410906504698,121,84,0.9296118495810942,0.0032805880293053425,0.02216834712075544,0.04947994105638862,0.04834521731263017,0.03352495959545476,0.013960187235583833,0.06555449635128657
tcp,eco_i,SH,0,63,168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0.010861258560687204,0.030741118608151242,0.06661840990388962,0.012937497923160747,0.9777868046982066,0.007282054704606123,0.003124216859186957,249,243,0.9007632266145956,0.07818418931934683,0.07929379097016517,0.06131727149112053,0.05890981671256573,0.07620785561151566,0.0828830462883069,0.09358286759684971
udp,eco_i,RSTR,0,30,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.04557197800054089,0.05906184430414551,0.0731818746847811,0.013567802294347299,0.9930269152058715,0.08488396255218816,0.04608093492923898,71,19,0.9459207573349699,0.004365449979141545,0.039630951586094545,0.07744645449571569,0.043637046292166796,0.06271305276845643,0.09452955624818116,0.005038926380806119
udp,domain_u,S0,0,53,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,0.009086828584255958,0.013071974378203167,0.014890781323927162,0.07612395868653739,0.9676535243738724,0.04976729192766412,0.040173991923029485,128,177,0.9022152808972224,0.08863173271310903,0.07818209078445132,0.03878691443551874,0.000792599635637592,0.003664163334718218,0.07207968373341787,0.036354084501696464
udp,http,RSTR,0,92,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.08503602701757944,0.059816778721495184,0.0014477629817231886,0.01108257961592919,0.9872939402005045,0.021930676062265553,0.004501275927821857,247,79,0.9921416380576344,0.03498465838096939,0.0398663799500642,0.022953794204607414,0.08229725265079912,0.08652947295657391,0.08728081751369371,0.07971839866626701
udp,eco_d,S0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.07070330985668434,0.061705414850683905,0.038978004443047554,0.05153373967535468,0.9120075983825645,0.09942217772699533,0.04672549068014237,123,250,0.9466386188691854,0.0982458654742716,0.06668493318744283,0.09787960213963852,0.09443550395151351,0.03288707297991005,0.05238035949052189,0.02973061361668934
icmp,ftp_data,S0,0,38,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0.09600254239429983,0.07923113915455435,0.0780397172134313,0.07586030406596572,0.9780854279376996,0.006981841821537993,0.09020771198629028,175,166,0.9865822960156551,0.037582044440452135,0.018109098059045238,0.018948225324447135,0.008057350666494012,0.03657203977244155,0.061241237889191884,0.0479426890067913
icmp,http,S0,0,32,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.09880620753321416,0.07006032341730131,0.025875832296848235,0.062406157977467305,0.9795401886396319,0.023841827058457443,0.06709391172560959,152,14,0.9197504343657746,0.0216246645103511,0.05144307843654416,0.014876205065870729,0.0613890527667194,0.017051169049277705,0.044211918982325994,0.092985071475218
tcp,ftp_data,SH,0,49,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.07552354053630134,0.027250982223066957,0.014296539068887549,0.09974405570097251,0.9681241337390715,0.025724807391291883,0.014009809317447431,23,26,0.953281358325402,0.0862149385010956,0.027009608717530123,0.025835581731946156,0.09120845033777755,0.096096173284966,0.01736771712773936,0.05634291139045072
icmp,http,SF,0,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.06341556214126488,0.09662222054543318,0.03893471664673015,0.08366335425992569,0.915249963752982,0.052938062234319884,0.03066353244797575,24,171,0.9583816801674481,0.04361869811275552,0.035115984907677256,0.09002369365480507,0.025167209834215644,0.03349016361915871,0.01679064853387413,0.09579712398964933
tcp,ftp_data,RSTR,2,232,408,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,0.06303302875171943,0.03048339277229757,0.002274051096369201,0.09158680181243661,0.9440528113341194,0.032931229821527866,0.03151440117811666,57,166,0.9781293204736645,0.0029706084705876656,0.016517256291614425,0.05803964366663499,0.017936885111819678,0.08335748562820822,0.020803711792872406,0.08658160922059331
tcp,domain_u,SF,0,77,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0.000671870785340778,0.0321671102422388,0.01314587031851563,0.05405529150608819,0.9795392037872053,0.044158785296729834,0.09742794177619585,15,155,0.9947697890496042,0.09864022381036111,0.027371637624052148,0.02589674180166437,0.045347939284149576,0.09121944864273301,0.05433454779407937,0.008321088614162631
icmp,domain_u,S0,1,57,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0.06788573294462234,0.02434392231457363,0.06891653221907862,0.08004803178045622,0.9288271258330933,0.046269987548144126,0.00531546125545861,52,233,0.9146566816580392,0.06091357086836261,0.04914010168939888,0.0260523333902863,0.07366842931489959,0.02475087358361766,0.06090305900486447,0.052491923757867015
tcp,http,RSTR,0,199,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.07337049883125644,0.035753553760680845,0.084869768604176,0.008608426655530377,0.9358305263632509,0.050609905202260434,0.042463590967633746,53,249,0.9234708160119734,0.0845429890167398,0.050236827768409126,0.007427818637298078,0.011948277235897965,0.0054178842767387825,0.07112740098707009,0.0558459350168338
udp,other,SH,0,386,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0.06301040170517633,0.04784729724320561,0.04517113655834146,0.06971496446645455,0.9789225441048852,0.026446316693570948,0.0453062604273666,244,129,0.9600352524837112,0.009253948891386633,0.07840000477364782,0.004656400729602117,0.09683276622790529,0.04648892557364426,0.049728130788669556,0.05890293820674108
udp,eco_d,S0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.04717431372922918,0.07376180043300054,0.01718534697486005,0.07200310288729271,0.9572504201427109,0.07765656502929288,0.03952501254119689,112,174,0.9577225175013111,0.02300941485491599,0.07290256566261825,0.04760761550460749,0.09247601105675633,0.0006929872505169522,0.0919667988849312,0.01896538401980984
icmp,domain_u,SF,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0.0778559546617866,0.03134909523146068,0.03348454291941851,0.02144031190774555,0.9763143248182022,0.056036597117850966,0.06396661128724036,241,31,0.9384355983101387,0.036100609611133004,0.01033969969532228,0.045908229048086314,0.023009934049072436,0.04933510376214222,0.036079411001538844,0.03922489527183326
tcp,private,SF,0,395,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.0639096444694756,0.021234364110592086,0.06637148270468342,0.021176033098743788,0.9474190149511609,0.053256943322159016,0.0831757437912947,185,79,0.9091679962888332,0.06656153639480407,0.012087277973392008,0.07003018367255893,0.0275010359318708,0.08936366408991851,0.008854658027094054,0.021080022004350187
icmp,other,REJ,1,9,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0.0997763057537231,0.07436663990410185,0.013357812561291116,0.02616633951701952,0.9982094788617177,0.040885360701728074,0.05160047943685078,57,203,0.931916339166661,0.06684778056775566,0.08671117457329747,0.059254426589328724,0.07294525273642219,0.0036584614039812838,0.04117328748605074,0.0542869782046147
udp,private,REJ,0,70,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0724122385745317,0.023829770540555573,0.018093792524063335,0.0990184169223553,0.992530791295989,0.004382936881812694,0.0665624018494189,76,189,0.910023952904573,0.009779782186137231,0.08094124276197971,0.008752085311869707,0.03371614961649656,0.023845957846968704,0.09923331880198334,0.048819977534539497
icmp,private,REJ,2,58,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.021938170952710768,0.0932256900649821,0.04534235883745161,0.0006635445911305605,0.9158978506483807,0.08982774866352707,0.04524840969446184,222,64,0.9755205079378788,0.023847906050190548,0.017379474560846844,0.03265126913741319,0.03569231403087053,0.04976607805341471,0.041509645982538625,0.00776576475798565
icmp,eco_d,S0,0,68,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.06352728354256261,0.006334200360025022,0.00476025884555239,0.08926518785414297,0.9142799072325573,0.09815906991570482,0.09652465778133296,146,233,0.9430408107677813,0.05142914706683943,0.0032859947737811646,0.00775154909336202,0.00976385828460339,0.06538635438739306,0.09985475543754779,0.09792016471790801
tcp,eco_i,SH,0,37,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.0697356404702278,0.028861693872890105,0.043590236462376676,0.016424306212962102,0.9818484597904167,0.04672405761242507,0.07794024539369017,250,147,0.9935943266457581,0.0938251271082451,0.09475490788560999,0.054667855459537174,0.07913938723691175,0.04875009834434844,0.057783124583431635,0.05813879053066123
icmp,private,REJ,0,51,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.02440615337910206,0.010632944380798504,0.08138058214740192,0.09631928983605685,0.9275535571293881,0.05267200900005973,0.09098599046683889,246,80,0.9565234005596766,0.06753663385706059,0.02795084049031408,0.052655787823365635,0.06457496247587509,0.08413037947452812,0.03358214077738438,0.08416135035738437
icmp,eco_d,RSTR,1,80,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,0.06039106367179031,0.09185867535433574,0.04915816204396091,0.08177366907423185,0.9523013641365651,0.052552077650458155,0.09308043412834495,14,12,0.9120519926829728,0.07119842141256125,0.04063388616666605,0.006467205171196522,0.04920211845041237,0.0861562680122,0.07616511752754726,0.05856583134440599
icmp,eco_d,SH,3,117,187,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0.057780181306446,0.08149377354406674,0.013089457292080409,0.054099858243436175,0.9339843983888418,0.023029114766694104,0.046621938308966784,252,96,0.9006100593121038,0.031559102875086696,0.007029606000622024,0.08384543109662701,0.00572143290737156,0.013805860482598131,0.06942230932281063,0.03354727740338264
udp,eco_d,SF,0,75,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.005998551662224794,0.036322865142451914,0.07637516990196229,0.06887892756282009,0.9646349998393784,0.035291115642717565,0.06988539814640574,45,161,0.9775334109426435,0.04023848238435354,0.07303320440365964,0.08196642640430078,0.03628911033715828,0.04580522309267178,0.07606836539286081,0.0742009532386934
tcp,ftp_data,S0,1,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0867078090239468,0.06586152358055959,0.07703187530347533,0.04178130037828801,0.9057877080884772,0.07535280614646954,0.06059075920044114,130,156,0.9583412856437409,0.07747601748248213,0.05114333389812201,0.0384908154905455,0.04948859399059932,0.08914968832014558,0.08883802019569975,0.08509699290829015
tcp,private,SH,1,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0.007656572770291037,0.05586657124216304,0.06372372925051045,0.012784253952828662,0.9504500197744928,0.046521138602746086,0.08145537023418731,232,193,0.9013502640127857,0.052758135606328554,0.09045670337628695,0.07070764919816944,0.011846194886528784,0.05682736919843165,0.07021679487454209,0.0706908698704936
icmp,http,S0,3,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.02400772863472901,0.055769611674587154,0.08091131502581349,0.04885088657104926,0.9886798609024624,0.09604899836891223,0.04788620798849781,47,99,0.9590619784691499,0.09083210960758865,0.039932224926237964,0.03654911692262704,0.05231432989454626,0.01248833660317319,0.0017622458111884011,0.09451126080194285
icmp,private,SF,1,383,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0.004331783934853195,0.044180799170545126,0.02924495815755155,0.026212345992205635,0.9676732006741267,0.09624358802340369,0.027972874643951776,190,0,0.9144227137702929,0.0205218347293463,0.037237047104540726,0.08848651568909915,0.016256898042471924,0.07644982806197326,0.08602848040639978,0.08551946652093939
